"YEAR","Sum(FINES)"
2008,2639479
2009,2576271
2010,2518363
2011,2856108
2012,3004162
2013,2907678
2014,3669800
2015,3797740
2016,3265399
2017,3691401
2018,4279816
2019,3696730
2020,3773473
2021,4867138
2022,4551342
2023,4236097
2024,3323227
